cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:01:04.988,6,10.2.0.1,1847,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:01:06.988,6,10.2.0.1,1847,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:01:17.988,6,10.2.0.1,1850,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:01:17.989,6,10.2.0.1,1851,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:01:18.987,6,10.2.0.1,1849,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:01:18.987,6,10.2.0.1,1847,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:06:22.988,6,10.2.0.1,1880,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:06:36.989,6,10.2.0.1,1880,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:09:52.988,6,10.2.0.1,1933,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:09:53.988,6,10.2.0.1,1933,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:09:54.988,6,10.2.0.1,1933,/HWJavaSocket/device.htm?ip=10.2.0.1&month=MAY
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:10:10.988,6,10.2.0.1,1937,/HWJavaSocket/js/HWStatsUsageFlows_sql_.csv
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:10:10.988,6,10.2.0.1,1935,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:10:10.988,6,10.2.0.1,1933,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 14:10:10.988,6,10.2.0.1,1936,/HWJavaSocket/images/users.png
