cnt,daddr,dport,hst,last,proto,saddr,sport,uri
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:15:44.864,6,10.2.0.1,1587,/favicon.ico
text/xml,128.243.19.19,80,orac,2012-05-22 13:16:21.864,6,10.2.0.1,1588,/ReportingWebService/ReportingWebService.asmx
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:35.863,6,10.2.0.1,1589,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:36.864,6,10.2.0.1,1589,/favicon.ico
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:38.864,6,10.2.0.1,1589,/HWJavaSocket/updategraphdata.htm
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:40.864,6,10.2.0.1,1589,/HWJavaSocket/deviceday.htm?ip=10.2.0.1&month=MAY&monthId=5
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:50.865,6,10.2.0.1,1593,/HWJavaSocket/images/device.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:50.865,6,10.2.0.1,1591,/HWJavaSocket/images/uon_logo_black_transparent_bg_small.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:50.865,6,10.2.0.1,1592,/HWJavaSocket/images/users.png
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:50.865,6,10.2.0.1,1589,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:16:59.863,6,10.2.0.1,1589,/HWJavaSocket/deviceday.htm?ip=10.2.0.1&month=MAY&monthId=5
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:05.864,6,10.2.0.1,1589,/HWJavaSocket/js/styles.css
NULL,10.2.0.2,8080,10.2.0.2:8080,2012-05-22 13:17:06.865,6,10.2.0.1,1593,/HWJavaSocket/images/device.png
