Device_ip,year,month,day,hour,nbytes,Mb
10.2.0.26,2012,5,9,20,4432038.00,4.22672081
10.2.0.27,2012,5,9,21,3399970.00,3.242464066
10.2.0.29,2012,5,10,12,310878.00,0.296476364
10.2.0.30,2012,5,10,13,11588608.00,11.05175781
10.2.0.31,2012,5,10,14,3853685.00,3.675160408
10.2.0.32,2012,5,10,15,1070051.00,1.020480156
10.2.0.34,2012,5,11,14,8428587,8.038126945
10.2.0.35,2012,5,11,15,1733543,1.653235435
10.2.0.36,2012,5,11,16,2196360,2.094612122
10.2.0.37,2012,5,11,19,15874,0.015138626
10.2.0.38,2012,5,11,20,120796,0.115200043
10.2.0.39,2012,5,11,21,24180,0.023059845
10.2.0.40,2012,5,11,22,37815,0.036063194
10.2.0.41,2012,5,11,23,4696,0.004478455
10.2.0.43,2012,5,13,22,2090091,1.993266106
10.2.0.44,2012,5,13,23,6736401,6.424332619
10.2.0.46,2012,5,14,12,793388,0.756633759
10.2.0.47,2012,5,14,13,756151,0.721121788
10.2.0.2,2012,5,14,14,82427,0.078608513
10.2.0.3,2012,5,14,15,18292970,17.44553566
10.2.0.4,2012,5,14,16,180322,0.17196846
10.2.0.5,2012,5,14,18,25258,0.024087906
10.2.0.6,2012,5,14,20,9648417,9.201447487
10.2.0.7,2012,5,14,21,4802942,4.580442429
10.2.0.8,2012,5,14,22,5796325,5.527806282
10.2.0.9,2012,5,14,23,4216396,4.021068573
10.2.0.11,2012,5,15,10,70183,0.066931725
10.2.0.12,2012,5,15,11,2805153,2.67520237
10.2.0.13,2012,5,15,12,2775505,2.646927834
10.2.0.14,2012,5,15,15,3007413,2.868092537
10.2.0.15,2012,5,15,17,3885240,3.705253601
10.2.0.16,2012,5,15,18,5286756,5.041843414
10.2.0.17,2012,5,15,20,6679224,6.369804382
10.2.0.19,2012,5,16,12,17542,0.016729355
10.2.0.20,2012,5,16,13,241708,0.230510712
10.2.0.22,2012,5,22,12,101930,0.097208023
10.2.0.23,2012,5,22,13,2657929,2.534798622
10.2.0.24,2012,5,22,14,1650952,1.57447052
10.2.0.25,2012,5,22,15,593884,0.566371918
