daddr,dport,last,nbytes,npkts,proto,saddr,sport
10.2.0.1,1099,2012-04-25 18:16:27.706,10088,12,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:16:27.706,968,12,6,10.2.0.1,1099
10.2.0.2,53,2012-04-25 18:16:41.716,88,1,17,10.2.0.1,54745
10.2.0.1,0,2012-04-25 18:16:41.716,94,2,1,10.2.0.2,0
10.2.0.1,54745,2012-04-25 18:16:41.717,88,1,17,10.2.0.2,53
10.2.0.2,0,2012-04-25 18:16:41.717,94,2,1,10.2.0.1,0
10.2.0.1,61209,2012-04-25 18:16:55.727,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:16:55.727,82,1,17,10.2.0.1,61209
10.2.0.1,57501,2012-04-25 18:17:09.738,79,1,17,10.2.0.2,53
10.2.0.1,60270,2012-04-25 18:17:09.738,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:17:09.739,75,1,17,10.2.0.1,60270
10.2.0.2,53,2012-04-25 18:17:09.739,79,1,17,10.2.0.1,57501
10.2.0.2,53,2012-04-25 18:17:25.75,88,1,17,10.2.0.1,65475
10.2.0.1,65475,2012-04-25 18:17:25.75,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:17:39.761,82,1,17,10.2.0.1,64304
10.2.0.1,64304,2012-04-25 18:17:39.761,82,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:17:53.772,79,1,17,10.2.0.1,58605
10.2.0.1,51312,2012-04-25 18:17:53.772,75,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:17:53.772,75,1,17,10.2.0.1,51312
10.2.0.1,58605,2012-04-25 18:17:53.772,79,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:17:58.777,75,1,17,10.2.0.1,50395
10.2.0.1,50395,2012-04-25 18:17:58.777,75,1,17,10.2.0.2,53
10.2.0.1,56698,2012-04-25 18:18:19.793,88,1,17,10.2.0.2,53
10.2.0.2,53,2012-04-25 18:18:19.793,88,1,17,10.2.0.1,56698
10.2.0.2,53,2012-04-25 18:18:26.798,76,1,17,10.2.0.1,59777
10.2.0.1,59777,2012-04-25 18:18:26.798,76,1,17,10.2.0.2,53
10.2.0.2,8080,2012-04-25 18:29:29.617,440,2,6,10.2.0.1,1659
10.2.0.2,53,2012-04-25 18:29:30.618,75,1,17,10.2.0.1,52476
10.2.0.1,52476,2012-04-25 18:29:30.618,75,1,17,10.2.0.2,53
10.2.0.1,1659,2012-04-25 18:29:31.62,54,1,6,10.2.0.2,8080
10.2.0.1,1099,2012-04-25 18:29:31.62,188,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:29:31.62,188,2,6,10.2.0.1,1099
10.2.0.2,8080,2012-04-25 18:29:31.62,537,1,6,10.2.0.1,1659
10.2.0.1,1099,2012-04-25 18:29:32.717,14326,17,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:29:32.717,968,12,6,10.2.0.1,1099
10.2.0.1,1099,2012-04-25 18:26:36.32,584,4,6,10.2.0.2,22
10.2.0.1,1099,2012-04-25 18:29:35.72,188,2,6,10.2.0.2,22
10.2.0.2,22,2012-04-25 18:29:35.72,188,2,6,10.2.0.1,1099
10.2.0.1,1659,2012-04-25 18:29:36.722,11523,6,6,10.2.0.2,8080
10.2.0.1,1099,2012-04-25 18:29:36.722,13994,15,6,10.2.0.2,22
