Device ip: 10.2.0.1
Device ip: 192.168.1.64
2012-5-4:20,524
2012-5-4:21,524
2012-5-8:18,372
2012-5-8:19,4192
2012-5-8:20,1642
2012-5-8:21,648
2012-5-9:19,2164
2012-5-9:20,3854
2012-5-9:21,1302

Device ip: 192.168.1.68
2012-5-11:16,62
2012-5-11:19,1350
2012-5-11:20,3216
2012-5-11:21,2382
2012-5-11:22,1488
2012-5-14:12,526
2012-5-15:10,924

Device ip: 192.168.1.94
2012-4-30:19,214

Device ip: 192.168.1.96
2012-5-2:14,1758

Device ip: 192.168.217.1
2012-4-30:19,180
2012-5-2:14,828
2012-5-4:20,276
2012-5-4:21,276
2012-5-8:19,3274
2012-5-8:20,2340
2012-5-8:21,1176
2012-5-9:19,642
2012-5-9:20,1552
2012-5-9:21,2430
2012-5-11:19,276
2012-5-11:20,3072
2012-5-11:21,4146
2012-5-11:22,2520
2012-5-14:12,450
2012-5-15:10,552
2012-5-22:12,244
2012-5-11:13,1622
2012-5-11:14,5722
2012-5-11:15,2886
2012-5-25:14,6036

Device ip: 192.168.36.1
2012-4-30:19,180
2012-5-2:14,828
2012-5-2:20,276
2012-5-2:21,276
2012-5-8:19,3366
2012-5-8:20,2340
2012-5-8:21,1176
2012-5-9:19,642
2012-5-9:20,1736
2012-5-9:21,2430
2012-5-11:19,552
2012-5-11:20,3072
2012-5-11:21,4146
2012-5-11:22,2520
2012-5-14:12,450
2012-5-15:10,552
2012-5-22:12,152
2012-5-22:13,1346
2012-5-22:14,5350
2012-5-22:15,2700
2012-5-25:14,6222
