date,10.2.0.1,10.2.0.2,128.243.19.10,128.243.19.110,128.243.19.12,128.243.19.19,128.243.19.20,128.243.19.35,128.243.20.248,128.243.20.6,128.243.21.108,128.243.21.16,128.243.21.248,128.243.22.140,128.243.22.141,128.243.22.244,128.243.22.9,128.243.46.118,192.168.1.64,192.168.1.68,192.168.1.94,192.168.1.96,192.168.217.1,192.168.36.1
2012-5-11:15,36630191,1733543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-11:16,46394337,2196360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0
2012-5-11:19,14744,15874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350,0,0,276,552
2012-5-11:20,32367,120796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3216,0,0,3072,3072
2012-5-11:21,20877,24180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382,0,0,4146,4146
2012-5-11:22,20402,37815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1488,0,0,2520,2520
2012-5-11:23,5294,4696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-13:22,54965754,2090091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-13:23,219578839,6736401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:12,18376322,793388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526,0,0,450,450
2012-5-14:13,18375171,756151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:14,12441,82427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:15,55270026,18292970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:16,45385,180322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:18,37639,25258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:20,36837885,9648417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:21,128819953,4802942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:22,202035121,5796325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-14:23,146972250,4216396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:10,40350,70183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,924,0,0,552,552
2012-5-15:11,91880466,2805153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
