2012-4-3:15,10.2.0.2,349615
2012-4-4:18,10.2.0.1,85390088
2012-4-4:18,10.2.0.2,3366047
2012-4-4:19,10.2.0.1,18958352
2012-4-4:19,10.2.0.2,536097
2012-4-4:20,10.2.0.1,57122229
2012-4-4:20,10.2.0.2,1985405
2012-4-4:20,192.168.1.64,524
2012-4-4:20,192.168.217.1,276
2012-4-4:20,192.168.36.1,276
2012-4-4:21,10.2.0.1,85679236
2012-4-4:21,10.2.0.2,2597315
2012-4-4:21,192.168.1.64,524
2012-4-4:21,192.168.217.1,276
2012-4-4:21,192.168.36.1,276
2012-4-8:18,10.2.0.1,9606511
2012-4-8:18,10.2.0.2,363339
2012-4-8:18,192.168.1.64,372
2012-4-8:19,10.2.0.1,9588043
2012-4-8:19,10.2.0.2,292744
2012-4-8:19,192.168.1.64,4192
2012-4-8:19,192.168.217.1,3274
2012-4-8:19,192.168.36.1,3366
2012-4-8:20,10.2.0.1,96068637
2012-4-8:20,10.2.0.2,8590973
2012-4-8:20,192.168.1.64,1642
2012-4-8:20,192.168.217.1,2340
2012-4-8:20,192.168.36.1,2340
2012-4-8:21,10.2.0.1,9875944
2012-4-8:21,10.2.0.2,4874406
2012-4-8:21,192.168.1.64,648
2012-4-8:21,192.168.217.1,1176
2012-4-8:21,192.168.36.1,1176
2012-4-9:18,10.2.0.1,28837944
2012-4-9:18,10.2.0.2,1920933
2012-4-9:19,10.2.0.1,66948596
2012-4-9:19,10.2.0.2,2408728
2012-4-9:19,192.168.1.64,2164
2012-4-9:19,192.168.217.1,642
2012-4-9:19,192.168.36.1,642
2012-4-9:20,10.2.0.1,124487376
2012-4-9:20,10.2.0.2,4432038
2012-4-9:20,192.168.1.64,3854
2012-4-9:20,192.168.217.1,1552
2012-4-9:20,192.168.36.1,1736
2012-4-9:21,10.2.0.1,95760408
2012-4-9:21,10.2.0.2,3399970
2012-4-9:21,192.168.1.64,1302
2012-4-9:21,192.168.217.1,2430
2012-4-9:21,192.168.36.1,2430
