2012-3-25:18,10.2.0.1,76067915
2012-3-25:18,10.2.0.2,2462676
2012-3-25:19,10.2.0.1,28167355
2012-3-25:19,10.2.0.2,715410
2012-3-26:12,10.2.0.1,49516
2012-3-26:12,10.2.0.2,161162
2012-3-26:12,128.243.19.110,66
2012-3-26:13,10.2.0.1,84803724
2012-3-26:13,10.2.0.2,2388384
2012-3-26:14,10.2.0.1,75306761
2012-3-26:14,10.2.0.2,2610203
2012-3-27:12,10.2.0.1,45738
2012-3-27:12,10.2.0.2,35459
2012-3-27:13,10.2.0.1,43153
2012-3-27:13,10.2.0.2,70663
2012-3-27:14,10.2.0.1,1834
2012-3-27:14,10.2.0.2,1909
2012-3-27:15,10.2.0.1,56570520
2012-3-27:15,10.2.0.2,1524172
2012-3-27:16,10.2.0.1,9529463
2012-3-27:16,10.2.0.2,381739
2012-3-30:17,10.2.0.1,263644
2012-3-30:17,10.2.0.2,1035203
2012-3-30:18,10.2.0.1,75368645
2012-3-30:18,10.2.0.2,2886803
2012-3-30:19,10.2.0.1,122297736
2012-3-30:19,10.2.0.2,4265758
2012-3-30:19,192.168.1.94,214
2012-3-30:19,192.168.217.1,180
2012-3-30:19,192.168.36.1,180
2012-4-10:12,10.2.0.1,9599816
2012-4-10:12,10.2.0.2,310878
2012-4-10:12,128.243.19.110,916
2012-4-10:13,10.2.0.1,67368781
2012-4-10:13,10.2.0.2,11588608
2012-4-10:13,128.243.19.110,396
2012-4-10:14,10.2.0.1,95915583
2012-4-10:14,10.2.0.2,3853685
2012-4-10:15,10.2.0.1,28811652
2012-4-10:15,10.2.0.2,1070051
2012-4-11:14,10.2.0.1,233772
2012-4-11:14,10.2.0.2,8428587
2012-4-11:15,10.2.0.1,36630191
2012-4-11:15,10.2.0.2,1733543
2012-4-11:16,10.2.0.1,46394337
2012-4-11:16,10.2.0.2,2196360
2012-4-11:16,192.168.1.68,62
2012-4-11:19,10.2.0.1,14744
2012-4-11:19,10.2.0.2,15874
2012-4-11:19,192.168.1.68,1350
