deviceIp,year,month,day,hour,nbytes
10.2.0.2,2012,5,14,21,4802942
10.2.0.2,2012,5,14,22,5796325
10.2.0.2,2012,5,14,23,4216396
10.2.0.2,2012,5,15,10,70183
10.2.0.2,2012,5,15,11,2805153
10.2.0.2,2012,5,15,12,2775505
10.2.0.2,2012,5,15,15,3007413
10.2.0.2,2012,5,15,17,3885240
10.2.0.2,2012,5,15,18,5286756
10.2.0.2,2012,5,15,20,6679224
10.2.0.2,2012,5,16,12,17542
10.2.0.2,2012,5,16,13,241708
10.2.0.2,2012,5,22,12,101930
10.2.0.2,2012,5,22,13,2657929
10.2.0.2,2012,5,22,14,1650952
10.2.0.2,2012,5,22,15,593884
10.2.0.2,2012,5,25,14,1717913
10.2.0.2,2012,5,29,12,776
10.2.0.2,2012,5,29,15,668050
10.2.0.2,2012,5,29,16,190254
10.2.0.2,2012,6,11,17,271380
10.2.0.2,2012,6,12,12,522548
10.2.0.2,2012,6,14,16,1457622
10.2.0.2,2012,6,14,17,4886
10.2.0.2,2012,6,18,13,1973945
10.2.0.2,2012,6,21,14,47763
10.2.0.2,2012,6,26,15,12782
10.2.0.2,2012,6,26,19,24380
10.2.0.2,2012,6,27,14,54739
10.2.0.2,2012,7,4,20,49021
10.2.0.2,2012,7,4,21,4846
10.2.0.2,2012,7,10,13,23203
10.2.0.2,2012,7,10,14,4401
10.2.0.2,2012,7,10,15,1313
10.2.0.2,2012,7,10,16,8081
10.2.0.2,2012,7,11,11,580
128.243.19.110,2012,4,26,12,66
128.243.19.110,2012,5,10,12,916
128.243.19.110,2012,5,10,13,396
192.168.1.94,2012,4,30,19,214
192.168.36.1,2012,4,30,19,180
192.168.36.1,2012,5,2,14,828
192.168.36.1,2012,5,4,20,276
192.168.36.1,2012,5,4,21,276
192.168.36.1,2012,5,8,19,3366
192.168.36.1,2012,5,8,20,2340
192.168.36.1,2012,5,8,21,1176
192.168.36.1,2012,5,9,19,642
192.168.36.1,2012,5,9,20,1736
192.168.36.1,2012,5,9,21,2430
192.168.36.1,2012,5,11,19,552
192.168.36.1,2012,5,11,20,3072
192.168.36.1,2012,5,11,21,4146
192.168.36.1,2012,5,11,22,2520
192.168.36.1,2012,5,14,12,450
192.168.36.1,2012,5,15,10,552
192.168.36.1,2012,5,22,12,152
192.168.36.1,2012,5,22,13,1346
192.168.36.1,2012,5,22,14,5350
192.168.36.1,2012,5,22,15,2700
192.168.36.1,2012,5,25,14,6222
192.168.36.1,2012,6,11,17,552
192.168.36.1,2012,6,21,14,276
192.168.217.1,2012,4,30,19,180
192.168.217.1,2012,5,2,14,828
192.168.217.1,2012,5,4,20,276
192.168.217.1,2012,5,4,21,276
192.168.217.1,2012,5,8,19,3274
192.168.217.1,2012,5,8,20,2340
192.168.217.1,2012,5,8,21,1176
192.168.217.1,2012,5,9,19,642
192.168.217.1,2012,5,9,20,1552
192.168.217.1,2012,5,9,21,2430
192.168.217.1,2012,5,11,19,276
192.168.217.1,2012,5,11,20,3072
192.168.217.1,2012,5,11,21,4146
192.168.217.1,2012,5,11,22,2520
192.168.217.1,2012,5,14,12,450
192.168.217.1,2012,5,15,10,552
192.168.217.1,2012,5,22,12,244
192.168.217.1,2012,5,22,13,1622
192.168.217.1,2012,5,22,14,5722
192.168.217.1,2012,5,22,15,2886
192.168.217.1,2012,5,25,14,6036
192.168.217.1,2012,6,11,17,552
192.168.217.1,2012,6,21,14,276
192.168.1.96,2012,5,2,14,1758
192.168.1.64,2012,5,4,20,524
192.168.1.64,2012,5,4,21,524
192.168.1.64,2012,5,8,18,372
192.168.1.64,2012,5,8,19,4192
192.168.1.64,2012,5,8,20,1642
192.168.1.64,2012,5,8,21,648
192.168.1.64,2012,5,9,19,2164
192.168.1.64,2012,5,9,20,3854
