date,10.2.0.1,10.2.0.2,192.168.36.1,128.243.19.10,128.243.19.110,128.243.19.12,128.243.19.19,128.243.19.20,128.243.20.6,128.243.21.108,192.168.217.1,128.243.21.16,128.243.21.248,128.243.22.140,128.243.19.35,128.243.20.248,128.243.22.141,128.243.22.244,192.168.1.94,192.168.1.96,128.243.22.244, 128.243.22.9,128.243.46.118,192.168.1.64,192.168.1.68
2012-5-15:12,65947263,2775505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:15,91924600,3007413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:17,128608951,3885240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:18,165356925,5286756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-15:20,138001968,6679224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-16:12,17309,17542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-16:13,77304,241708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-22:12,244302,101930,152,0,0,0,0,12257,54,0,244,0,0,0,1130,1699284,7926,540,0,0,540,1176,0,0,0
2012-5-22:13,73669876,2657929,1346,0,0,518,0,17000,54,999,0,0,1332,1724,3026,96143,2236,0,0,0,0,154,90,0,0
2012-5-22:14,37229623,1650952,5350,2318,0,0,0,24788,54,0,0,0,0,5736,2696,2495729,7243,0,0,0,0,2604,180,0,0
2012-5-22:15,18438571,593884,2700,0,0,0,0,192,0,0,0,0,0,370,1403,1384,0,0,0,0,0,0,0,0,0
2012-5-25:14,55251099,1717913,6222,0,0,0,0,8647,0,0,6036,54,0,0,2894,335282,224,0,0,0,0,528,90,0,0
2012-5-29:12,386918,776,0,0,0,0,968,1156,0,0,0,0,0,0,55,2048100,6609,0,0,0,0,0,0,0,0
2012-5-29:15,18790243,668050,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012-5-29:16,62703,190254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
